actor,target_group,path_nodes,path_relations,path_length,action_suggestion,priority_score
KRBTGT@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
DOADMIN@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
BHORRARAH@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ANNMARIE_COHEN@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
BCLEAVER@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
SPENCER_KNOWLES@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
EZRA_CUMMINGS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
JEFF_MULLINS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
CLIKEN@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
MARIAN_VALENTINE@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
TOBY_WOODARD@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
GEORGIA_CANTU@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
MINDY_BROCK@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
LEE_MATHEWS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
BART_SNOW@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
SYSMONSVC@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
3291982832SA@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ELLIS_DONALDSON@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
CELESTE_FREEMAN@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
WINFRED_MENDOZA@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
TRENT_MATHIS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ALISA_PERKINS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
INA_MURRAY@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
NANETTE_FARRELL@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
9621193281SA@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
DELORES_WARD@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
SHAUNA_WHITNEY@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
CLINT_EWING@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
VIRGINIA_DAVENPORT@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ENRIQUE_BUCKLEY@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
MARCELO_VINSON@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
WILL_DELANEY@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
CLARK_RIVERA@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
MARK_BOONE@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
MAGDALENA_MCCONNELL@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ROBERT_RAYMOND@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
DARLENE_JENKINS@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
JACKLYN_CABRERA@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
SOLOMON_ROWLAND@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
YONG_TODD@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
ELSIE_DODSON@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
KAREEM_MADDOX@DOAZLAB.COM,,[],[],0,investigate_actor_simulated,5
