group,meta_json
ADMINISTRATORS@DOAZLAB.COM,"{""Name"": ""ADMINISTRATORS@DOAZLAB.COM"", ""HighValue"": ""True"", ""Description"": ""Administrators have complete and unrestricted access to the computer/domain"", ""AdminCount"": ""True""}"
DOMAIN ADMINS@DOAZLAB.COM,"{""Name"": ""DOMAIN ADMINS@DOAZLAB.COM"", ""HighValue"": ""True"", ""Description"": ""Designated administrators of the domain"", ""AdminCount"": ""True""}"
ENTERPRISE ADMINS@DOAZLAB.COM,"{""Name"": ""ENTERPRISE ADMINS@DOAZLAB.COM"", ""HighValue"": ""True"", ""Description"": ""Designated administrators of the enterprise"", ""AdminCount"": ""True""}"
ENTERPRISE KEY ADMINS@DOAZLAB.COM,"{""Name"": ""ENTERPRISE KEY ADMINS@DOAZLAB.COM"", ""HighValue"": ""False"", ""Description"": ""Members of this group can perform administrative actions on key objects within the forest."", ""AdminCount"": ""True""}"
HYPER-V ADMINISTRATORS@DOAZLAB.COM,"{""Name"": ""HYPER-V ADMINISTRATORS@DOAZLAB.COM"", ""HighValue"": ""False"", ""Description"": ""Members of this group have complete and unrestricted access to all features of Hyper-V."", ""AdminCount"": ""False""}"
KEY ADMINS@DOAZLAB.COM,"{""Name"": ""KEY ADMINS@DOAZLAB.COM"", ""HighValue"": ""False"", ""Description"": ""Members of this group can perform administrative actions on key objects within the domain."", ""AdminCount"": ""True""}"
SCHEMA ADMINS@DOAZLAB.COM,"{""Name"": ""SCHEMA ADMINS@DOAZLAB.COM"", ""HighValue"": ""False"", ""Description"": ""Designated administrators of the schema"", ""AdminCount"": ""True""}"
STORAGE REPLICA ADMINISTRATORS@DOAZLAB.COM,"{""Name"": ""STORAGE REPLICA ADMINISTRATORS@DOAZLAB.COM"", ""HighValue"": ""False"", ""Description"": ""Members of this group have complete and unrestricted access to all features of Storage Replica."", ""AdminCount"": ""False""}"
DOMAIN ADMINS@DOAZLAB.COM,"{""Group"": ""DOMAIN ADMINS@DOAZLAB.COM"", ""Description"": ""Designated administrators of the domain"", ""Members"": ""8""}"
ADMINISTRATORS@DOAZLAB.COM,"{""Group"": ""ADMINISTRATORS@DOAZLAB.COM"", ""Description"": ""Administrators have complete and unrestricted access to the computer/domain"", ""Members"": ""6""}"
KEY ADMINS@DOAZLAB.COM,"{""Group"": ""KEY ADMINS@DOAZLAB.COM"", ""Description"": ""Members of this group can perform administrative actions on key objects within the domain."", ""Members"": ""3""}"
